,_id,bs_map_id,title,artist,mapper_name,mapper_id,duration_seconds,auto_mapped,upload_date,tags,difficulties,spotify_id,sp_title,sp_artist,sp_artist_id,artist_genres,album,album_released,album_type,sp_duration,sp_danceability,sp_energy,sp_key,sp_loudness,sp_mode,sp_speechiness,sp_acousticness,sp_instrumentalness,sp_liveness,sp_valence,sp_tempo,sp_time_signature,sp_popularity,bs_map_link,spotify_link,artist_match,title_match,duration_difference,match_conclusion,upvotes,downvotes,score,last_fetched
1367,65415675e97b587491e30bb1,3a,TTFAF,Freeek,freeek,47581,444.0,False,2018-05-11T12:36:36Z,['rock'],"['Hard', 'Expert']",5ora1hAeubOxDDE29Jw4Er,FreakyT (Sped Up),TiaCorine,39i5B6umzWzkfMe12JrMwW,['trap queen'],FreakyT (Sped Up),2023-01-09,album,103777.0,0.678,0.402,8.0,-12.151,0.0,0.159,0.125,0.00213,0.111,0.49,185.879,4.0,56.0,https://beatsaver.com/maps/3a,http://open.spotify.com/track/5ora1hAeubOxDDE29Jw4Er,False,False,340.223,False,5711,1746,0.7644,2023-10-31
1368,65415675e97b587491e30bb2,39,Xenogenesis,TheFatRat,mmmdoggy,53518,85.0,False,2018-05-11T08:07:01Z,['dance'],['Expert'],5iRVNYbhfWNO2VzBykX7GS,Xenogenesis,TheFatRat,3OKg7YbOIatODzkRIbLJR4,['speedrun'],Xenogenesis,2014-11-27,album,233379.0,0.544,0.608,10.0,-8.073,0.0,0.0287,0.0313,0.742,0.0925,0.088,145.049,4.0,64.0,https://beatsaver.com/maps/39,http://open.spotify.com/track/5iRVNYbhfWNO2VzBykX7GS,True,True,148.379,True,374,225,0.621,2023-10-31
1369,65415675e97b587491e30bb3,37,Flexicution,Rbanh,rbanh,53544,219.0,False,2018-05-11T03:42:17Z,['none'],['Expert'],2wkEHYo57BS7xGvoCBSqX2,Bravo Flexin',Bravo the Bagchaser,31t9hT68QYCDPWkkUVrQjY,['cali rap'],Bravo Flexin',2019-05-02,album,142676.0,0.815,0.577,11.0,-11.193,0.0,0.412,0.196,0.0,0.127,0.576,101.572,4.0,42.0,https://beatsaver.com/maps/37,http://open.spotify.com/track/2wkEHYo57BS7xGvoCBSqX2,False,False,76.32400000000001,False,47,76,0.3908,2023-10-31
1370,65415675e97b587491e30bb4,36,I Need a Docter,Sex Whales,drummertristin,53489,211.0,False,2018-05-11T03:31:30Z,['dubstep'],['Expert'],76V1DvlH2uob3zVjwFf6lI,Sex,Whales,5zId1SmYy46E9v2KQsSTFR,"['dubstep', 'gaming edm']",Sex,2019-04-24,album,225103.0,0.526,0.942,1.0,-2.554,1.0,0.0617,0.000101,0.00529,0.124,0.0509,145.116,4.0,6.0,https://beatsaver.com/maps/36,http://open.spotify.com/track/76V1DvlH2uob3zVjwFf6lI,True,False,14.103000000000009,True,8,27,0.2716,2023-10-31
1371,65415676e97b587491e30bb5,35,Drop It,Aero Chord,nikey,53546,188.0,False,2018-05-11T02:39:33Z,"['hip-hop-rap', 'dubstep']",['Hard'],5o4MRKC6Y8idOvgEvpsx5P,Drop It,Aero Chord,6lO3fSdhsdpeOcrbqAJsRU,"['bass trap', 'gaming edm']",Rocket League x Monstercat Vol. 1,2017-07-05,album,187826.0,0.676,0.987,9.0,-2.907,0.0,0.0771,0.201,0.681,0.113,0.556,137.994,4.0,51.0,https://beatsaver.com/maps/35,http://open.spotify.com/track/5o4MRKC6Y8idOvgEvpsx5P,True,True,0.1740000000000066,True,86,185,0.3256,2023-10-31
1372,65415727e97b587491e30bb7,11bc4,Boku no Sensou (My War),Shinsei Kamattechan,mratortellini,54152,91.0,False,2020-12-16T01:06:16.142Z,['none'],['ExpertPlus'],0xEcKP6ahs1KPkOtLZBL8i,My War 'Boku no Sensou' - KOHTA YAMAMOTO Remix,Shinsei Kamattechan,1ZnuqrjIR4q8zhgriUYsSo,['japanese alternative rock'],Rearrangement Reaction,2022-06-29,album,276626.0,0.506,0.72,2.0,-9.776,1.0,0.0369,0.0151,0.304,0.139,0.394,144.006,4.0,21.0,https://beatsaver.com/maps/11bc4,http://open.spotify.com/track/0xEcKP6ahs1KPkOtLZBL8i,True,False,185.62599999999998,False,99,210,0.3278,2023-10-31
1373,65415727e97b587491e30bb8,11bc0,Benibotan,DJ NAGAI,EOP_Glacier,4284294,106.0,False,2020-12-05T06:00:26.479Z,"['techno', 'balanced']","['Easy', 'Normal', 'Hard', 'Expert', 'ExpertPlus']",5WqlEtAhAlusgIJ8EyE3On,DJ Ngamen 5,Nabih Fvnky,6j2kpYAVh7vTAgph49FdpZ,[],DJ Ngamen 5,2022-05-31,album,268728.0,0.74,0.677,10.0,-12.655,1.0,0.0428,0.543,0.354,0.223,0.844,106.569,4.0,14.0,https://beatsaver.com/maps/11bc0,http://open.spotify.com/track/5WqlEtAhAlusgIJ8EyE3On,False,False,162.728,False,460,29,0.927,2023-10-31
1374,65415727e97b587491e30bb9,11bbd,Spider Dance,Toby Fox,q15,4631,106.0,False,2020-12-05T05:45:46.078Z,['none'],"['Expert', 'ExpertPlus']",3aiGshuqYhdBBBhHqRf6jn,Spider Dance,Toby Fox,57DlMWmbVIf2ssJ8QBpBau,"['indie game soundtrack', 'otacore', 'pixel']",UNDERTALE Soundtrack,2015-09-15,album,106434.0,0.644,0.826,1.0,-9.578,1.0,0.0544,0.0431,0.969,0.103,0.993,114.928,4.0,64.0,https://beatsaver.com/maps/11bbd,http://open.spotify.com/track/3aiGshuqYhdBBBhHqRf6jn,True,True,0.4339999999999975,True,705,75,0.8945,2023-10-31
1375,65415727e97b587491e30bba,11bbc,Come Out and Play,Billie Eilish,SpecVR,4284554,211.0,False,2020-12-05T05:45:37.015Z,['holiday'],['Hard'],7wC5eZcFS1Q1BsQ35DU6H4,come out and play,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,"['art pop', 'pop']",come out and play,2018-11-20,album,210375.0,0.64,0.321,0.0,-14.604,1.0,0.0931,0.693,0.0307,0.114,0.177,145.045,4.0,68.0,https://beatsaver.com/maps/11bbc,http://open.spotify.com/track/7wC5eZcFS1Q1BsQ35DU6H4,True,True,0.625,True,391,8,0.963,2023-10-31
1376,65415727e97b587491e30bbb,11bba,Friends,Blake Shelton,aCake,655,182.0,False,2020-12-05T05:22:25.564Z,['none'],['Expert'],5cWU0i23BOS8pSwrYWEMS8,Friends,Blake Shelton,1UTPBmNbXNTittyMJrNkvw,"['classic oklahoma country', 'contemporary country', 'country', 'country road', 'modern country rock']",If I'm Honest,2016-05-20,album,182533.0,0.67,0.874,2.0,-5.568,1.0,0.0293,0.056,3.6e-06,0.28,0.601,108.851,4.0,47.0,https://beatsaver.com/maps/11bba,http://open.spotify.com/track/5cWU0i23BOS8pSwrYWEMS8,True,True,0.532999999999987,True,55,3,0.8958,2023-10-31
